date,symbol,volume,transaction,open,high,low,close
2025-12-03,8131,42724555,26783,44.2,46.4,42.8,46.4
2025-12-03,2002,42447647,11866,18.85,19.05,18.7,19.05
2025-12-04,2344,244918744,107075,55.0,58.9,53.7,57.8
2025-12-04,1303,224384126,123384,68.3,68.4,62.8,63.4
2025-12-04,2408,135892677,72025,151.0,152.5,145.5,151.0
2025-12-04,2887,111375134,15449,18.85,19.15,18.8,19.15
2025-12-04,6770,101699922,40965,32.2,32.5,31.45,32.3
2025-12-04,1802,94074369,40426,35.6,35.75,34.2,34.65
2025-12-04,00981A,89528346,24141,15.84,15.91,15.67,15.72
2025-12-04,00919,74180239,19393,21.73,21.88,21.73,21.83
2025-12-04,1605,67743910,28467,30.45,31.5,30.45,30.65
2025-12-04,3481,57068179,11596,14.25,14.35,14.1,14.35
2025-12-04,2337,53445168,22684,32.8,33.0,31.85,32.9
2025-12-04,8110,46729411,23953,38.8,39.3,37.5,37.6
2025-12-04,2303,46139833,16621,48.0,48.25,47.85,48.0
2025-12-04,00637L,44411417,4221,19.8,19.92,19.58,19.77
2025-12-04,2409,40981811,7911,11.7,11.9,11.7,11.85
2025-12-04,2637,40818883,25026,73.5,76.0,73.1,73.6
2025-12-04,0050,40655322,35535,62.4,62.5,62.0,62.2
2025-12-04,00878,40047397,11204,21.08,21.14,21.08,21.12
2025-12-04,8039,39543422,26503,78.8,82.3,76.1,78.0
2025-12-04,2882,39014958,14867,67.5,69.2,67.4,69.0
2025-12-05,2344,343693196,157574,58.1,62.8,56.4,61.8
2025-12-05,2408,141034633,69620,150.5,156.0,146.5,153.0
2025-12-05,6770,109410515,40664,32.15,33.1,31.7,32.9
2025-12-05,1802,100694952,44522,34.85,36.45,34.2,36.45
2025-12-05,8110,92326126,50067,37.9,40.95,37.25,39.6
2025-12-05,1303,91640083,49438,62.8,63.9,61.9,63.4
2025-12-05,3231,86357618,51067,146.0,153.0,145.5,151.0
2025-12-05,2303,83118521,32960,48.05,49.3,48.0,48.9
2025-12-05,2605,82102445,34435,30.45,31.1,28.4,28.4
2025-12-05,3037,80682253,64638,202.5,218.0,201.5,215.0
2025-12-05,8112,77819958,49960,71.6,75.5,68.6,75.1
2025-12-05,2337,74166349,29262,33.0,34.1,32.25,33.9
2025-12-05,00981A,73870486,12880,15.78,15.98,15.75,15.98
2025-12-05,00919,58785039,22036,21.85,21.87,21.79,21.84
2025-12-05,3189,58242653,38382,149.0,162.0,149.0,157.0
2025-12-05,2365,54718117,31395,38.2,40.6,38.05,38.65
2025-12-05,2887,53864742,8165,19.15,19.25,19.1,19.25
2025-12-05,2606,49570769,31577,66.3,67.5,62.9,63.2
2025-12-05,2356,49516966,31495,46.15,48.0,45.9,47.1
2025-12-05,2409,47522956,7483,11.85,11.85,11.6,11.65
2025-12-08,2344,312825078,156916,63.5,67.9,63.5,67.9
2025-12-08,1802,254172184,105072,36.15,39.6,36.0,38.2
2025-12-08,6770,251293364,92730,33.35,34.75,33.25,34.15
2025-12-08,2337,156473065,61936,34.15,37.25,34.1,37.25
2025-12-08,2884,146711672,30648,31.85,32.95,31.35,32.0
2025-12-08,1303,106385560,56698,63.8,64.8,62.3,63.4
2025-12-08,8112,80541802,58757,75.4,78.4,74.6,76.7
2025-12-08,0050,78686347,60124,63.0,63.7,62.95,63.7
2025-12-08,00919,75204376,25014,21.85,21.92,21.84,21.91
2025-12-08,00981A,74677141,15964,16.02,16.08,15.91,16.08
2025-12-08,00637L,72077324,6642,20.11,20.57,20.11,20.53
2025-12-08,1605,69225488,26826,30.0,31.3,29.75,31.15
2025-12-08,2303,66870881,38553,49.75,50.0,48.45,49.3
2025-12-08,00680L,62269077,2729,7.37,7.37,7.32,7.33
2025-12-08,00632R,62124547,9633,16.95,16.97,16.82,16.82
2025-12-08,2867,60103370,7777,7.32,7.59,7.32,7.57
